Title,Body,CreaDate,Tags,State,Reactions,Comments,Link,Keywords,Topic_id,,,,,,
convert tflite change output models multiple outputs,hello everyone currently model one input multiple outputs train model eager execution trained model keras format converted model tflite format mobile devices converted model tflite output changed tested keras model tflite model output different system information os platform distribution mac os mojave version number outputs base model mobilenetv outputs keras tflite tflite keras picture output layer model screen shot pm images githubusercontent edcc eaa,2019-10-13T11:46:38Z,"stat:awaiting response, type:bug, stale, comp:lite, TF 2.0",CLOSED,11,37,https://github.com/tensorflow/tensorflow/issues/33303,"tflite, convert, android, output, interpreter, converter, delegate, inference, input, quantization",1,模型输出顺序异常,,,,,Convert to tflite will change output order for models with multiple outputs
bidirectionanl lstm fail tf,reproduce text classification rnn article org tutorials text text classification rnn seems running properly executed machine unfortunantly able reproduce iteration epochs system information provided running windows installed pip version version cuda cudnn geforce following stream executor dnn cudnn status internanl stream executor cuda cuda dnn cudnnrnnbackwarddata cudnn handle rnn desc handle model dims length output desc handles output data opaque output desc handles output backprop data opaque output desc handle output backprop data opaque output desc handle output backprop data opaque rnn desc params handle params opaque input desc handle input data opaque input desc handle input data opaque input desc handles input backprop data opaque input desc handle input backprop data opaque input desc handle input backprop data opaque workspace opaque workspace reserve space data opaque reserve space data core framework op kernel op requires failed cudnn rnn ops internanl failed thenrnnbackward model config rnn rnn input rnn direction layers input units count length batch cell units core common runtime base collective executor basecollectiveexecutor startabort internanl failed thenrnnbackward model config rnn rnn input rnn direction layers input units count length batch cell units,2019-11-01T21:10:27Z,"stat:awaiting response, type:bug, stale, comp:keras, TF 2.0",CLOSED,0,80,https://github.com/tensorflow/tensorflow/issues/33924,"tensor, input, data, dataset, float, output, dtype, numpy, array, op",12,模型构建失败,,,,,Bidirectional LSTM在TF 2.0上构建失败
tensorboard callback histogram freq crashes one epoch non eager,system information written custom opposed stock example script provided os platform distribution linux ubuntu macos mobile device iphone pixel samsung galaxy happens mobile device nan installed source binanry binanry version command tf version dev tf git version version bazel version compiling source nan gcc compiler version compiling source nan cuda cudnn version nan gpu model memory nan current behavior calling keras function non eager fails one epoch specifying tensorboard callback expected behavior think function continue training without crashing reproduce info logs,2019-06-24T17:22:59Z,"comp:tensorboard, type:bug, TF 2.0",CLOSED,17,11,https://github.com/tensorflow/tensorflow/issues/30094,"compiling, compiling_source, device, mobile, command, bazel, gcc, behavior, linux_ubuntu, compiler",14,模型构建失败,,,,,"Calling the Keras fit function in non-eager mode fails after one epoch, if specifying a tensorboard callback which has histogram_freq=1"
memory model fit,sure policy master issues md address doc bugs performance issues feature requests issues tag template system information written custom opposed stock example script provided minimal working example os platform distribution linux ubuntu windows server installed source binanry version command tf version cuda cudnn version cuda gpu model memory current behavior memory increases consecutive training runs probably related side note understand warning seems handled expected behavior memory stay constant standalone reproduce provide reproducible test minimum necessary generate problem possible share jupyter notebook output warning sample weight modes coerced warning sample weight modes coerced memory usesd warning sample weight modes coerced warning sample weight modes coerced memory usesd warning sample weight modes coerced warning sample weight modes coerced memory usesd warning sample weight modes coerced warning sample weight modes coerced memory usesd warning sample weight modes coerced warning sample weight modes coerced memory usesd warning sample weight modes coerced warning sample weight modes coerced memory usesd warning sample weight modes coerced warning,2020-03-11T09:57:12Z,"stat:awaiting response, type:bug, comp:keras, TF 2.1",CLOSED,8,42,https://github.com/tensorflow/tensorflow/issues/37505,"test, gradient, ops, op, warning, variable, graph, result, py, fails",2,模型加载时内存泄漏,,,,,模型训练时内存使用增加
conversion output vs output,system information os platform distribution linux ubuntu ubuntu lts gnu linux generic pip package built source pip package library version pip package built source provide help us reproduce issues one following options option paste provide custom input msg csv files input msg csv failure conversion genmat txt files genmat txt conversion successful generated model model produces results vs model attached pkl text gets loaded input csv gets loaded input msg csv output tf invocation correct printed tflite invocation output printed incorrect sure quantization scaling inputs representative data set random,2022-10-21T01:20:53Z,"stat:awaiting tensorflower, type:bug, comp:lite, TFLiteConverter, TF 2.9",OPEN,0,72,https://github.com/tensorflow/tensorflow/issues/58206,"tensorboard, stackoverflow, question, problem, pip, conversion, support, system_information, issue, go",7,模型转换结果不一致,,,,,TF lite与TF模型输出不匹配
hangs model fit,although extract reproduce problem think documenting help improve project anyone encounters problem system windows version tf gpu tf data dataset provide samples gpu eager batch hang model fit continue occupy core cpu cpu turn eager set batch normally continue stream executor platform default loader opened dynanmic library cublas dll stream executor platform default loader opened dynanmic library cudnn dll stream executor gpu redzone allocator internanl invoking gpu asm compilation supported cuda non windows platforms relying driver perform ptx compilation modify customize ptxas location message logged eta loss accuracy,2020-01-20T17:28:39Z,"type:bug, comp:keras, TF 2.1",CLOSED,9,34,https://github.com/tensorflow/tensorflow/issues/36072,"executor, numa, stream, xla, library, device, compiler, stream_executor, core, cpu",18,模型在硬件设备上执行失败,,,,,model.fit执行时悬挂且占用CPU
typebug json serializable tf keras model keras variable loss weights tf keras model compile,system information written custom nan os platform distribution ubuntu lts mobile device iphone pixel samsung galaxy happens mobile device nan installed source binanry binanry version command version bazel version compiling source nan gcc compiler version compiling source nan cuda cudnn version release gpu model memory tesla current behavior try model model model tf keras model instance throws typebug json serializable tf variable variable dtype float tf keras backend variable loss weights model compile optimizer tf keras optimizers adam interestingly try model weights model weights model tf keras model instance works expected behavior throw training reproduce import tf import numpy np import os import sys input layer tf keras layers input batch layer tf keras layers dense input layer layer tf keras layers dense nanme output layer layer tf keras layers dense nanme output layer model tf keras model inputs input layer outputs layer layer alpha tf keras backend variable model compile optimizer tf keras optimizers adam lr loss output tf keras metrics binanry crossentropy output tf keras metrics binanry crossentropy loss weights alpha model fit skipped straight model weights execute throw info logs traceback latest py module queue,2019-05-17T12:03:50Z,"type:bug, comp:keras, TF 1.12",CLOSED,10,28,https://github.com/tensorflow/tensorflow/issues/28799,"compiling, compiling_source, device, mobile, command, bazel, gcc, behavior, linux_ubuntu, compiler",14,模型保存失败,,,,,model.save()执行失败
dataset keras functionanl model tuple range uin steps epoch,system information written custom opposed stock example script provided os platform distribution linux ubuntu linux ubuntu newest installed source binanry pip binanry version command version cuda cudnn version gpu model memory geforce current behavior passing dataset model fit model generated tf keras layers results indexbug tuple range custom tfrecord dataset datasets derived datasets installed via pip looks standardize input data function since instance datasetv hitting statement expected behavior keras models accept tf datasets reproduce info logs,2020-01-16T05:03:22Z,"stat:awaiting response, type:bug, stale, comp:keras, TF 2.1",CLOSED,11,23,https://github.com/tensorflow/tensorflow/issues/35925,"kera, train, training, batch, data, epoch, loss, metric, fit, dataset",9,模型构建失败,,,,,model.fit执行失败 IndexError: tuple index out of range
tf model fit class weight supported models single output,system information written custom opposed stock example script provided custom loss function os platform distribution linux ubuntu ubuntu installed source binanry binanry version command version cuda cudnn version gpu model memory nvidia tensor core gpu aws dn xlarge current behavior model fit function class weight dictionanry mapping class indices integers weight float values example traceback model input output input tf tensor input base dtype output tf tensor output base identity dtype float expected behavior perfectly working tf previous versions upgrading getting changes made model architecture parts model fit function,2020-06-14T20:04:50Z,"type:bug, comp:keras, TF 2.5",CLOSED,9,31,https://github.com/tensorflow/tensorflow/issues/40457,"behavior, expected, system_information, current_behavior, written, expected_behavior, command, script, provided, written_custom",19,模型构建失败,,,,,model.fit执行失败
restore checkpoint loads optimizer incorrectly,system information written custom opposed stock example script provided os platform distribution linux ubuntu ubuntu mobile device iphone pixel samsung galaxy happens mobile device installed source binanry binanry version command rc version bazel version compiling source gcc compiler version compiling source cuda cudnn version gpu model memory ti current behavior checkpoint restoration optimizer weights different optimizer weights saving checkpoint assert consumed notifies checkpoint unresolved optimizer slots variables expected behavior optimizer weights assert consumed warn anything org community contribute contribute pr briefly candidate solution standalone reproduce reproducible example presented research drive obneq jsfbrduabtamqiyxuzshqe sharing info logs include logs source helpful diagnose problem including tracebacks include traceback logs files attached,2021-10-12T14:06:47Z,"stat:awaiting tensorflower, type:bug, comp:ops, 2.6.0",CLOSED,12,18,https://github.com/tensorflow/tensorflow/issues/52346,"compiling, compiling_source, device, mobile, command, bazel, gcc, behavior, linux_ubuntu, compiler",14,模型保存失败,,,,,检查点文件保存出错
training stalls saving checkpoint,hello trying librispeech problem tensor tensor gpu runtime training stalls saving checkpoint opening dynanmic library libcublas message stops forever posting stalling point happens packages version version tensor tensor version cuda version os ubuntu output,2019-08-27T17:59:14Z,"type:bug, comp:runtime, TF 1.14",CLOSED,8,33,https://github.com/tensorflow/tensorflow/issues/32017,"tensor, input, data, dataset, float, output, dtype, numpy, array, op",12,模型构建失败,,,,,保存检查点并打开dynamic library libcublas.so.10.0后训练停止
keras allow tf data validation without validation steps,system information written custom opposed stock example script provided os platform distribution linux ubuntu mac ubuntu installed source binanry binanry version command dev rc version cuda cudnn version gpu model memory current behavior tf data validation data without defining validation steps fails typebug datasetv adapter object support indexing tf data without steps epoch works expected training data instead expected behavior think behaviour training data validation data keras model fit consistent keras lot easier together tf data gets rid defining exact number steps reproduce info logs,2019-05-24T11:16:15Z,"stat:awaiting response, type:bug, comp:keras",CLOSED,9,29,https://github.com/tensorflow/tensorflow/issues/28995,"behavior, expected, system_information, current_behavior, written, expected_behavior, command, script, provided, written_custom",19,模型构建参数限制,,,,,不设置validation_steps时tf.data无法作为validation_data
model fit tf data dataset generator infer,system information written custom opposed stock example script provided os platform distribution linux ubuntu macos installed source binanry binanry version command beta gc bb rc version bazel version compiling source gcc compiler version compiling source cuda cudnn version gpu model memory current behavior model fit given tf data dataset uses generator throws valuebug defined unknown tensorshape gist matpalm ec ae ab traceback expected behavior model fit able infer input reproduce throws valuebug defined unknown tensorshape note following works info logs gist matpalm ec ae ab traceback,2019-09-30T03:31:33Z,"stat:awaiting response, stat:awaiting tensorflower, type:bug, comp:keras, comp:data, TF 2.0",CLOSED,8,32,https://github.com/tensorflow/tensorflow/issues/32912,"behavior, expected, system_information, current_behavior, written, expected_behavior, command, script, provided, written_custom",19,模型构建失败,,,,,model.fit执行失败
saving gru dropout savedmodel fails,system information written custom opposed stock example script provided os platform distribution linux ubuntu mobile device iphone pixel samsung galaxy happens mobile device installed source binanry pip version command rc version bazel version compiling source gcc compiler version compiling source cuda cudnn version gpu model memory current behavior model containing gru layer dropout set activation relu model savable attempted function inference gru layer fn references symbolic tensor tensor dropout mul dtype float simple constant supported expected behavior model gets reproduce based org keras serialize,2019-10-11T13:54:35Z,"type:bug, comp:keras, TF 2.0",CLOSED,11,19,https://github.com/tensorflow/tensorflow/issues/33247,"compiling, compiling_source, device, mobile, command, bazel, gcc, behavior, linux_ubuntu, compiler",14,模型保存失败,,,,,"When Model containing GRU layer, dropout is set and activation='relu', the model is not savable"
windows framework bugs impl unknownbug failed renanme,system information os nanme microsoft windows enterprise os version installed rc ananconda inc default jan msc bit amd win current behavior saving checkpoint files failing windows problem traced function atomic write string debugging attempts create overwrite saving checkpoint reason overwrite parameter although set nothing causes renanme fail since seems created earlier checkpoint process deleting checkpoint checkpoint trying overwrite appears created part able checkpoint saving working modifying atomic write string follows change checks existence renanme target deletes os remove overwrite rather relying custom machinery seem working got suggested someone reporting models models issues expected behavior able checkpoint windows,2020-07-14T17:04:28Z,"stat:awaiting tensorflower, type:bug, comp:gpu, TF 2.5",OPEN,9,27,https://github.com/tensorflow/tensorflow/issues/41380,"tutorial, org, feature, issue, tpu, estimator, column, master, one, also",6,模型保存失败,,,,,windows上检查点保存失败
significant prediction slowdown model compile,system information os platform distribution linux ubuntu windows installed source binanry pip install version version cuda cudnn version cuda cudnn gpu model memory current behavior prediction speed slowed lot model compile expected behavior speed affected predict function users assuming work fast production surprise users reproduce nbviewer jupyter org tensorflowexperiments master test prediction speed compile ipynb flush cache images githubusercontent dc eecf bcc,2019-10-14T15:13:52Z,"type:docs-bug, comp:keras, TF 2.0",CLOSED,9,25,https://github.com/tensorflow/tensorflow/issues/33340,"tutorial, org, feature, issue, tpu, estimator, column, master, one, also",6,模型训练推理性能劣化,,,,,model.compile()执行后预测变慢
efficientnet models keras reproducible gpu,downloading efficientnet model keras applications efficientnet retraining data noticed results reproducible results reproducible architectures vgg resnet inceptionv inceptionresnetv efficientnetbx models note set following seeds even determinism random seed np random seed tf random set seed os environ tf cudnn deterministic os environ tf deterministic ops version gpu org api docs tf keras applications efficientnet,2021-02-16T02:07:31Z,"type:bug, comp:keras, comp:gpu, TF 2.3, TF 2.4",CLOSED,3,47,https://github.com/tensorflow/tensorflow/issues/47174,"tensor, input, data, dataset, float, output, dtype, numpy, array, op",12,模型构建失败,,,,,EfficientNet模型无法重现
fit function throw warning validation data instead tuple shows unexpected validation logs,stackoverflow question stackoverflow questions keras validation loss accuracy stuck fit function validation data passed continuously shows accuracy loss without warning simple model trained validation data shows behavior notebook research drive iculnd vqtus ytdoepcdovekpbhr sharing system information ran current behavior validation data parameter passed model shows loss metrics even though mentioned validation data tuple org api docs tf keras model fit function accepts unpack sample weight function data sent format without throwing warning log finanlly shows validation results keras instead keras validation logs show desired output expected behavior validation metrics show either cast tuple warning message invoked standalone reproduce notebook research drive iculnd vqtus ytdoepcdovekpbhr sharing minimal example reproduce behavior log info logs stackoverflow question stackoverflow questions keras validation loss accuracy stuck,2020-05-10T12:00:56Z,"stat:awaiting response, type:bug, comp:keras, TF 2.2",CLOSED,12,11,https://github.com/tensorflow/tensorflow/issues/39370,"kera, train, training, batch, data, epoch, loss, metric, fit, dataset",9,模型构建失败,,,,,model.fit执行失败
tpu deleteiterator opkernel missing,system information written custom opposed stock example script provided os platform distribution debian gnu linux installed source binanry bin pip version command version tpu tpu software version current behavior running tpu allocated ctpu aware supported atm simple training loop functioning mostly following guidelines org beta distribute strategy tfdistributestrategy custom training loops surprise encountered issues along way one seem remedy framework bugs impl notfoundbug registered deleteiterator opkernel tpu devices compatible deleteiterator seem actually break anything worried tpu memory something difficult verify without useable tpu profiling tools tf edit actually program crash iterations expected behavior expect able delete iterator object within tpu strategy reproduce occurs second around loop exp buff variable rewritten iter dataset explicitly freeing object del exp buff within outside occurs regardless info logs message message appears times tpu device messages identical,2019-09-05T19:55:03Z,"stat:awaiting response, type:bug, stale, comp:dist-strat, comp:tpus, TF 2.0",CLOSED,10,19,https://github.com/tensorflow/tensorflow/issues/32255,"tutorial, org, feature, issue, tpu, estimator, column, master, one, also",6,模型训练推理内存泄漏,,,,,TPU下的TF2.0可能产生内存泄漏
qat conversion runtimebug quantization yet supported op dequantize tf,update quantize qat models trained tf version however feature available tf version rc onwards available finanl tf release well require workaround tf verify tf version supports following runs system information version command dev current behavior converting quantize aware trained model integer quantized tflite model runtimebug quantization yet supported op dequantize expected behavior convert standalone reproduce provide reproducible test minimum necessary generate problem possible share jupyter notebook research gist sayakpaul beca qat bad accuracy ipynb,2020-08-06T00:02:00Z,type:bug,CLOSED,0,57,https://github.com/tensorflow/tensorflow/issues/42082,"tflite, convert, android, output, interpreter, converter, delegate, inference, input, quantization",1,模型转换失败,,,,,Error converting quantize aware trained tensorflow model to a fully integer quantized tflite model
keras layers update ops added even simplified interface,system information written custom opposed stock example script provided os platform distribution linux ubuntu archlinux installed source binanry binanry version command version cuda cudnn version cuda cudnn gpu model memory nvidia ti current behavior migrating codebase compatible version thus replacing tf layers tf keras layers counterpart continue static graphs monitoredsession train models since input pipelines defined tf data dataset training script defined work way however huge problem layer adds update operation batchnormalization layer actual behavior update operations moving variance called training model ok keras solution connection among models update operations mananged train batch model compile model fit magic background fact said design issues issuecomment since migrate keras based solution handle updates found theoretical workaround collected update operations model updates collect inputs model inputs loop inputs feed correct input execute sess updates really ugly work trigger parameter update update execution solution converge moreover model becomes complex,2018-11-20T08:20:55Z,"type:bug, type:feature, TF 1.12",CLOSED,8,24,https://github.com/tensorflow/tensorflow/issues/23873,"tutorial, org, feature, issue, tpu, estimator, column, master, one, also",6,模型转换结果不一致,,,,,tf.layers转换为tf.keras.layers时模型训练不会调用更新操作
sparse input nanme missing exported model,system information written custom opposed stock example script provided os platform distribution linux ubuntu centos mobile device iphone pixel samsung galaxy happens mobile device installed source binanry binanry version command version bazel version compiling source gcc compiler version compiling source cuda cudnn version gpu model memory exact command reproduce descriptions problem tf keras input sparse input tensor info nanmes unreadable serving signantures result hard distinguish multiple sparse inputs one model source logs produce model import tf import keras keras import layers inputs keras input sparse nanme input sparse input dense layers dense activation relu outputs dense inputs model keras model inputs inputs outputs outputs nanme model tf keras models model model exported model overwrite include optimizer examine exported model model cli show exported model tag set serve signanture def serving default output given savedmodel signanturedef contains following input inputs tensor info dtype nanme serving default inputs tensor info dtype float nanme serving default inputs tensor info dtype nanme serving default given savedmodel signanturedef contains following output outputs dense tensor info dtype float nanme statefulpartitionedcall method nanme serving predict,2020-08-04T03:53:17Z,"stat:awaiting response, type:bug, stale, comp:keras, TF 2.3",CLOSED,9,19,https://github.com/tensorflow/tensorflow/issues/42018,"function, kera, variable, weight, eager, input, nanme, optimizer, graph, output",13,模型参数不可读,,,,,"When using tf.keras.Input with 'sparse=True', the input tensor info names are unreadable in serving signatures"
memory tf train example tf train features tf gfile,system information written custom opposed stock example script provided os platform distribution linux ubuntu archlinux installed source binanry repository version command version cuda cudnn version cuda cudnn gpu model memory nvidia ti current behavior system goes oom gib memory expected behavior able create dataset converting files read cloud tfrecords debugging memory usage usage around hence memory allocation outside library reproduce gs tfrecord function fetch data cloud storage since tf gfile guess somewhere tf train example tf train feature since functions loop update created another function download images cloud store locally goes memory way maybe tf gfile function info logs output display top invocation,2018-11-14T11:18:42Z,"type:bug, comp:runtime",CLOSED,0,55,https://github.com/tensorflow/tensorflow/issues/23733,"behavior, expected, system_information, current_behavior, written, expected_behavior, command, script, provided, written_custom",19,模型训练推理内存泄漏,,,,,tf.train.Example/tf.train.Features/tf.gfile导致内存泄漏
failed tf tensorrt undefined symbol zn stream executor streamexecutor enanblepeeraccesstoeps,system information os platform distribution linux ubuntu ubuntu installed source binanry source version version installed virtualenv pip pip bazel version compiling source git gcc compiler version compiling source gcc ubuntu ubuntu cuda cudnn version gpu model memory,2019-12-14T16:01:32Z,"stat:awaiting response, type:bug, comp:gpu, TF 2.0, comp:gpu:tensorrt",CLOSED,0,52,https://github.com/tensorflow/tensorflow/issues/35115,"micro, pip, problem, install, tool, bazel, target, txt, provide, file",16,模型构建失败,,,,,Failed to build TF2.0 with TensorRT
